Country,Food,Biodiversity,Emissions,Democracy,Education,Energy Consum,GDP,Happiness,Health Expend,High Tech Exports,Homicide Rates,Journal Articles Published,Population Density,Military Expenditure,Economic Freedom,Research Expenditure,Suicide Rate,Undernourishment,Women Empowerment
Afghanistan,3446216.911387,3.4071550256,0.19,2.77,4.8043498993,4.1,1934.1936343287,3.36,161.21700727,NA,6.6,26.5,88.2855849646,1,NA,NA,4.1,26.8,NA
Albania,1232257.772909,0.1845542306,0.45,5.91,3.5380001068,36,11305.4174218566,4.655,539.2819736,0.1203479817,4,183.6,64.0343065693,1.1,35,NA,6.1,NA,NA
Algeria,8282544.767904,2.8534923339,0.95,3.95,NA,55,14687.39020786,6.355,778.08416391,0.1541424417,1.5,3652.5,25.6365329549,6.2,25,NA,4.1,5,0.205
Angola,4488308.394051,8.262350937,0.4,3.35,NA,16,7371.0276562447,3.866,355.43238875,NA,9.8,22.6,111.2838325178,3.5,15,NA,8.4,14.2,0.251
Antigua and Barbuda,7564.244972,0.7098239637,1.61,NA,NA,116,22967.6920024722,NA,1020.9151194,0,11.2,1.9,257.9977272727,NA,NA,NA,0.6,NA,NA
Argentina,42851219.947818,17.7172061329,1.25,7.02,5.3440999985,88,NA,6.65,1724.620655,6.6757354618,7.6,8053.1,21.4026656289,1.2,15,0.6130300164,9.1,5,0.347
Armenia,1092553.869502,0.2271436684,0.52,4,2.2404999733,75,8393.5117858068,4.36,351.38259238,2.7003321867,2.2,558.5,62.992342817,4.5,20,0.2407899946,3.4,5.8,0.068
Australia,27019785.673655,87.6916524702,4.47,9.01,5.2706599236,283,45514.1758297674,7.313,4191.0905894,13.5987282005,1,47805.7,5.5177893339,1.9,90,2.1957499981,7.8,NA,0.193
Austria,4225714.884988,0.3265190233,2.01,8.54,5.5648398399,179,47824.1877781361,7.119,4884.6183098,13.8805613897,0.5,12031.3,101.1370238688,0.7,90,2.9860899448,11.8,NA,0.246
Azerbaijan,2637668.364185,0.7950028393,1.04,2.71,2.4621798992,58,17739.9547360618,5.291,956.6463065,7.0024690957,2.5,481.8,116.5763386484,4.6,20,0.2099100053,5.1,5,0.063
Bahamas,36252.111373,3.5633162976,1.4,NA,NA,151,23795.4382953871,NA,1688.2050312,0,29.8,15.8,49.7256743257,NA,70,NA,0.7,NA,0.11
Bahrain,44230.060809,0.0283929585,5.95,2.79,2.6447000504,451,46946.3351892261,6.218,1900.2125759,1.4927442224,NA,209.7,2108.1105263158,4.6,60,0.0997700021,7.8,NA,0.037
Bangladesh,22278589.926285,1.4480408859,0.12,5.73,1.9661699533,6.4,3332.8034451699,4.643,95.3267369,NA,2.8,1970.6,1302.4579165706,1.3,20,NA,13.5,16.4,0.433
Barbados,47423.554843,0.3691084611,1.43,NA,6.7117900848,67,16390.8649228605,NA,1060.2268381,16.4432838113,8.8,39.1,602.0627906977,NA,80,NA,1.4,5,0.15
Belarus,5767155.42334,0.0283929585,1.82,3.62,4.9875102043,123,17660.9465857183,5.802,1081.3870552,3.9290165837,3.6,1000.6,34.0847666453,1.2,20,0.6735799909,22.9,NA,0.146
Belgium,5717805.274129,0.0141964793,2.27,7.93,NA,258,43991.6228948018,6.929,4526.0811352,12.8109517773,1.8,16511.3,436.2678335535,0.9,80,2.4646799564,15.7,NA,0.275
Belize,178465.093456,1.7035775128,0.39,NA,6.2172899246,38,8526.9275109776,5.956,458.24171404,0,34.4,9.6,29.6597544936,1.1,35,NA,5.3,6.2,0.048
Benin,2338302.735522,0.2271436684,0.15,5.72,4.3807301521,8.3,2109.8459573727,3.484,81.66319916,4.1233870491,6.3,187.1,315.2191645974,1.2,30,NA,6.5,7.5,0.067
Bhutan,143030.470762,1.1215218626,0.3,4.93,5.9033498764,77,8076.9568758837,5.196,275.49979736,0.0230299191,2.7,28.6,20.7938190309,NA,60,NA,16.2,NA,0.056
Bolivia,3654992.35302,12.5496876775,0.5,5.75,7.2891402245,24,6880.9033586191,5.822,371.76115179,8.074195924,12.4,89.4,16.7247078372,1.6,10,NA,1.7,15.9,0.415
Bosnia and Herzegovina,959238.767356,0.3691084611,1.59,4.83,NA,91,10509.651420006,5.163,928.44791042,2.3965665211,1.3,437.3,37.6312941176,1,20,0.2610799968,7.7,NA,NA
Botswana,293221.093825,1.405451448,0.57,7.87,NA,35,15807.0857198278,3.974,851.07885752,0.2333715851,NA,165.3,6.4942847564,2.7,70,0.2522900105,12.2,24.1,0.068
Brazil,146604620.432881,100,0.63,6.96,5.9143099785,60,15359.3262966752,6.952,1453.8981854,10.614990473,24.6,48622.2,23.9653111817,1.4,45,1.236019969,5.8,5,0.123
Brunei,49913.322604,0.1277683135,6.49,NA,3.7659499645,378,70817.0185097872,NA,1811.6122813,7.7628447009,0.5,120.2,92.744402277,3.7,30,NA,4.8,5,0
Bulgaria,3213971.446809,0.8091993186,1.68,7.14,3.523360014,109,17511.7641146935,4.217,1212.5168559,6.8822582226,1.6,2677.3,31.3761606485,1.4,30,0.7951300144,9.2,NA,0.215
Burkina Faso,2647076.635091,0.2697331062,0.04,4.7,4.5001502037,1.6,1659.2202425027,3.739,109.14550254,10.6497824568,0.7,177,296.0161366959,1.6,30,NA,7.4,20.7,0.083
Burundi,1457106.610911,0.3265190233,0.01,2.49,5.4147500992,0.5,736.0118338823,2.905,61.83295809,1.2834714526,4,16.3,2440.1068535826,2.2,20,NA,10.7,NA,0.314
Cabo Verde,39268.806256,2.4134014764,0.27,7.81,5.0369300842,11,6689.8113903954,NA,279.13935818,0.0029488063,10.6,8,168.6803970223,0.5,75,NA,5.9,9.4,0.329
Cambodia,4370076.424464,3.4781374219,0.1,4.27,2.0211200714,5.1,3483.3267131986,3.907,228.71151344,0.3086002202,NA,84,135.5516372082,1.7,25,NA,4.6,14.2,0.214
Cambodia,4370076.424464,3.4781374219,0.1,4.27,2.0211200714,5.1,3483.3267131986,3.907,228.71151344,0.3086002202,NA,84,135.5516372082,1.7,25,NA,4.6,14.2,0.098
Cameroon,5514444.835191,12.5070982396,0.08,3.66,3.0283401012,6.1,3122.643964698,4.513,138.43324741,4.9152122461,2.7,526.8,174.2750608195,1.2,25,NA,9,9.9,0.18
Canada,27464367.696135,21.5076660988,3.77,9.08,NA,394,44310.1210825094,7.404,4759.3148735,14.8497336239,1.4,57796.7,5.4619396691,1,90,1.6115299463,9.9,NA,0.218
Central African Republic,995085.180938,1.5190232822,0.02,1.57,NA,1.2,597.3671902617,3.678,23.64602882,1.4133069994,13.2,11.8,20.0891360878,NA,10,NA,14.5,47.7,NA
Chad,1582519.755519,2.1720613288,0.01,1.5,2.8507099152,0.3,2171.4008123495,3.763,74.00846607,NA,9.2,7,54.7383489517,1.9,20,NA,7.7,34.4,0.093
Chile,8465647.452027,15.3180011357,1.27,7.84,4.5574398041,83,22316.207696515,6.705,1677.5977515,6.1748288036,3.6,5157.6,26.5547898409,1.9,85,0.3792800009,10.7,5,0.243
China,537921323.884563,66.6098807496,2.02,3.14,2.0593900681,78,14238.6693392857,5.245,645.63036627,25.3720115768,0.8,401434.5,106.9843833932,1.9,20,2.0460400581,12.1,9.3,0.162
Colombia,14410092.437138,51.5190232822,0.46,6.62,4.670800209,34,13800.7866254197,6.481,842.69936049,7.7117302434,27.9,4455.9,40.848126183,3.5,50,0.1953399926,6,8.8,0.18
Comoros,72155.48129,2.2998296422,0.05,3.71,5.0711197853,2.9,NA,3.956,89.74356783,0.3214422856,7.8,13.9,1239.7184309511,NA,30,NA,6.1,NA,NA
Congo,447430.476416,3.6201022147,0.15,2.91,NA,18,6368.1212846087,4.272,241.7645565,1.9849851601,10.5,136.8,64.465897511,5.7,10,NA,15.1,30.5,NA
Costa Rica,3026018.754461,9.7245883021,0.46,7.96,7.0116400719,41,15377.2295688962,7.087,1369.0347268,39.6132337074,10,276.6,97.7813356835,NA,50,0.5614100099,7,5,0.365
Cote d’Ivoire,6660337.260422,3.4355479841,0.11,3.31,4.7194700241,5.9,3495.8297464671,3.916,171.77130802,3.7212219296,11.4,169.2,318.0947735849,1.5,30,NA,21.5,13.3,0.081
Croatia,1099255.002975,0.624645088,1.16,6.93,NA,77,21880.484213538,5.488,1516.8508312,8.4251568901,0.8,4359,46.7312187277,1.6,35,0.7900000215,12.1,NA,0.193
Cuba,2876675.904914,12.5354911982,0.87,3.52,NA,37,NA,NA,NA,NA,NA,1547.9,66.7296035325,0,10,0.4053199887,10.5,5,0.407
Cyprus,329074.510917,0.4542873367,1.67,7.53,NA,107,30734.1751962539,5.771,2196.9829509,6.2251569848,0.1,888.6,149.9981601732,1.8,70,0.4724000096,2.9,NA,0.069
Czech Republic,3479995.799985,0.1135718342,2.61,7.94,4.2701101303,155,32167.0578372756,6.596,1981.8399649,14.9178521816,0.7,14022.4,113.5997669601,1,75,1.9973399639,11.5,NA,0.134
Denmark,5980704.120094,0.156161272,1.77,9.11,NA,143,46635.2447330723,7.526,4552.3997471,14.3525331534,1,12482.4,161.1511901956,1.2,95,3.0849299431,10.1,NA,0.309
Djibouti,73171.384215,0.4826802953,0.17,2.9,NA,24,NA,4.369,246.84388799,NA,7,7.8,48.5910267472,NA,25,NA,5.4,15.9,NA
Dominica,26729.982912,0.8801817149,0.51,NA,NA,33,11277.9282163603,NA,596.84569529,8.8347887218,NA,11.3,69.88,NA,60,NA,2.5,NA,NA
Dominican Republic,2932504.751179,5.9625212947,0.61,6.67,NA,32,14211.7245518375,5.155,631.39389621,3.7296428242,17.4,39.1,248.9025041391,0.7,25,NA,5.1,12.3,0.14
DPRK,3802701.762121,0.6530380466,0.54,1.08,NA,34,NA,NA,NA,NA,4.7,45.3,206.3108130554,NA,5,NA,3.5,NA,NA
DRC,4305956.97574,19.9460533788,0.01,2.11,2.2447500229,NA,782.7714507787,NA,26.19144011,NA,12.5,16.4,171.4707911162,1,10,NA,11.4,NA,NA
Ecuador,7056446.372403,29.3441226576,0.72,5.87,4.1656999588,40,11388.1569035469,5.976,788.9235236,4.7598085485,8.2,256,98.6436141086,2.7,15,NA,8.2,10.9,0.297
Egypt,21904249.508275,2.910278251,0.69,3.18,NA,42,10891.2577498598,4.362,539.13213455,1.3101433728,NA,9199.2,201.7201175348,1.7,20,0.6786800027,1.4,5,0.048
El Salvador,992351.671209,0.8943781942,0.32,6.64,NA,21,8602.0664930947,6.068,539.18862894,4.7601309274,64.2,35.4,213.3027509653,0.9,35,0.0842000023,10.5,12.4,0.214
Equatorial Guinea,48893.292467,1.504826803,2.05,1.77,NA,102,30040.6510685835,NA,1170.0883194,NA,3.4,2.4,106.3977896613,1.1,10,NA,9.4,NA,NA
Eritrea,245561.440199,0.8375922771,0.04,2.37,NA,1,NA,NA,36.28794223,NA,9.7,10.6,154.6108910891,NA,10,NA,9.5,NA,NA
Estonia,589408.407239,0.0567859171,3.63,7.85,4.6943101883,61,28094.8049532218,5.517,1452.6410991,11.4448119154,3.1,1425.8,21.3182826138,2,90,1.4363600016,16.3,NA,0.308
Ethiopia,10750652.049979,8.3759227712,0.03,3.83,4.4985499382,1.8,1625.6132616468,4.508,68.53482176,8.0964296409,8,801.7,242.644125,0.6,30,0.6047400236,14,32,0.232
Falkland Islands,7316.564091,NA,5.21,NA,NA,202,NA,NA,NA,NA,NA,NA,0.2179950698,NA,NA,NA,NA,NA,NA
Fiji,196540.628602,3.8614423623,0.5,5.69,3.8773798943,26,9158.9871878827,NA,328.38329878,2.0784311825,3,84,38.0718117132,1.2,30,NA,3.6,5,0.097
Finland,1875942.718299,0.1703577513,2.45,9.03,7.1794800758,234,40600.9189208876,7.413,3604.1207245,7.8614008717,1.6,10156.7,19.2731383066,1.3,90,3.1738801003,17.7,NA,0.607
France,38277823.639039,5.2952867689,NA,7.92,5.5334300995,166,39677.992121419,6.478,4333.583667,26.0927856598,1.2,72554.5,138.7953729018,2.1,80,2.2559900284,13.6,NA,0.365
Gabon,284050.370618,3.0380465645,0.77,3.76,NA,32,20010.1397549695,4.121,734.67863934,NA,9.4,50.3,17.3312259867,1.3,40,NA,7.1,5,NA
Gambia,116641.489059,0.0993753549,0.07,2.97,2.7677099705,3.4,NA,NA,98.78045497,0,9.4,45.1,879.0113636364,1.6,25,NA,5.5,5.3,0.098
Georgia,781521.641236,0.6388415673,0.48,5.88,1.9833099842,38,9679.187610524,4.252,696.99050338,3.0190872873,2.7,468.4,35.0872067923,2.4,40,0.0984300002,2.7,7.4,0.089
