Country,Food,Biodiversity,Emissions,Democracy,Education,Energy Consum,GDP,Happiness,Health Expend,High Tech Exports,Homicide Rates,Journal Articles Published,Population Density,Military Expenditure,Economic Freedom,Research Expenditure,Suicide Rate,Undernourishment,Women Empowerment
Lesotho,139170.170138,0.312322544,0.29,6.59,NA,6.7,NA,4.898,296.75741461,0.0034230319,NA,12.4,116.8506258235,2.2,30,NA,16.2,11.2,0.172
Liberia,395873.81753,2.5553662692,0.07,4.95,2.7575600147,2.2,836.1510014476,3.622,88.00683828,NA,3.2,8.3,165.8741901993,0.7,25,NA,4.9,31.9,0.216
Libya,1122823.371651,1.5900056786,2.27,2.25,NA,98,14154.258255736,5.615,764.44982014,NA,2.5,231.4,4.628411403,7.3,10,NA,4.2,NA,NA
Liechtenstein,4284.657068,0,0.36,NA,NA,NA,NA,NA,NA,NA,2.7,26.3,290.81875,NA,NA,NA,NA,NA,NA
Lithuania,1798963.454145,0.0283929585,1.25,7.54,4.7687897682,80,27729.7510217423,5.813,1578.7267222,10.1357504689,5.5,2185.4,32.1122155918,1.1,65,1.014770031,31.2,NA,0.227
Luxembourg,166510.008726,0,5.46,8.88,NA,386,101926.423613902,6.871,6518.2203058,5.6598067038,0.7,732.2,397.5262548263,0.5,90,1.2561000586,10.9,NA,0.212
Macedonia,810009.9756,0.1987507098,1.18,6.02,NA,62,13907.9385141898,5.121,758.68499142,3.1205881439,1.6,439.9,58.9672878668,1.1,35,0.440990001,4.7,NA,0.178
Madagascar,3410923.940013,29.2163543441,0.03,4.85,2.0799999237,1.5,1459.2687947688,3.695,58.13505649,0.5714625881,NA,113.2,181.3343359774,0.6,45,0.0156199997,4.6,33,0.142
Malawi,3441212.370922,3.534923339,0.02,5.55,6.8779201508,2,1182.622570669,4.156,90.2715316,2.5243085286,1.8,156.5,923.3721467968,0.8,40,NA,23.3,20.7,0.113
Malaysia,15297063.822082,13.8557637706,2.06,6.43,6.0939202309,109,26891.4432342056,6.005,938.29342653,43.8740466528,NA,17720.1,124.1148987977,1.5,55,1.2625900507,0.6,5,0.051
Maldives,7272.245682,1.3912549688,0.85,NA,5.1978502274,36,12636.5235260583,NA,1259.5959047,NA,0.9,5.3,1459.6266666667,NA,25,NA,1.1,5.2,0.055
Mali,3473525.117666,1.504826803,0.02,5.7,4.347869873,1.1,2428.2899639437,4.073,122.30872817,1.2475044136,10.2,64.2,76.2016841639,2.9,25,NA,4.6,5,0.086
Malta,72122.999761,0.0283929585,1.75,8.39,6.7596597672,226,NA,6.488,2651.861117,34.4130283266,1.4,259.2,1088.578125,0.6,70,0.848089993,4.2,NA,0.128
Marshall Islands,2764.325,1.3202725724,0.54,NA,NA,NA,NA,NA,703.1285999,NA,4.7,0.3,417.9222222222,NA,NA,NA,10.9,NA,NA
Mauritania,521321.836669,1.3344690517,0.19,3.96,3.2754499912,7.9,NA,4.201,NA,NA,11.4,16.2,12.6696575143,3.9,25,NA,7.1,5.6,0.195
Mauritius,242705.165756,3.2793867121,0.88,8.28,4.9843401909,52,19480.4707057169,5.648,863.89087341,0.0232694126,NA,109.5,468.9147783251,0.3,60,0.181189999,6.7,5,0.078
Mexico,35774074.689915,68.6825667235,1.07,6.55,NA,68,17276.6436278581,6.778,1061.1260058,15.9921956046,15.7,13112.4,76.3415170143,0.7,50,0.5381199718,4.5,5,0.281
Micronesia,51737.333981,2.6121521863,0.37,NA,NA,NA,NA,NA,448.09559819,NA,4.8,5.9,166.06,NA,30,NA,4.7,NA,NA
Moldova,1269109.193,0.0141964793,0.33,6.35,7.4840798378,32,5038.5020491015,5.897,553.35268487,4.8067740842,3.2,226.6,56.4925114155,0.4,40,0.3715200126,17.1,NA,0.195
Mongolia,922815.664908,4.159568427,3.18,6.62,NA,32,12188.594575581,4.907,566.83195805,19.5095054681,7.5,163.9,2.8884259378,0.8,30,0.2273100019,13.7,20.5,0.084
Montenegro,168450.023727,0,1.02,6.01,NA,62,15485.806091608,5.161,926.36628967,NA,3.2,192.3,32.4796282528,1.6,40,0.3632000089,NA,NA,0.114
Morocco,9251575.247761,3.4781374219,0.51,4.66,NA,22,7821.396498115,5.151,438.24257782,5.3138369363,1,2536.4,91.61510419,3.2,40,NA,1.7,5,0.11
Mozambique,3047092.354799,7.1834185122,0.03,4.6,6.4800901413,8.9,1185.8160121968,4.971,70.97690669,5.6348802413,NA,67.8,162.3238701391,1,30,NA,17.7,25.3,0.361
Myanmar,16981594.95125,10.0227143668,0.07,4.14,NA,5,NA,4.395,36.66269851,NA,2.5,38.2,85.7595570114,3.9,10,NA,6.4,14.2,NA
Namibia,408809.501123,5.1533219761,0.4,6.31,NA,31,10413.9764716817,4.574,749.36906609,2.6808636223,16.9,79.3,6.9604622915,4.4,30,NA,22.3,42.3,0.287
Nauru,659.957724,0,1.08,NA,NA,220,NA,NA,643.66956046,NA,1.3,0.3,432.85,NA,NA,NA,4.8,NA,NA
Nepal,5587014.205408,2.1436683702,0.06,4.77,4.7153701782,3,2458.1327293431,4.793,134.60440295,0.173122493,NA,442.1,207.0264318103,1.4,30,NA,6.3,7.8,0.169
Netherlands,13356740.852523,0.1703577513,2.76,8.92,5.6081299782,245,48458.9404873297,7.339,5601.1053199,19.9018385836,0.7,30412.4,510.684430605,1.2,90,1.9728000164,7.4,NA,0.401
New Zealand,10654190.052175,20.2299829642,2.12,9.26,6.4426498413,202,36982.2985659285,7.334,3405.161383,9.110550748,0.9,7244.3,23.1445254643,1.2,95,1.1716099977,11.1,NA,0.39
Nicaragua,1683168.23827,3.2651902328,0.22,5.26,NA,13,5189.7329991541,5.992,381.76476922,0.3859087053,11.5,28.2,58.1364716636,0.6,10,NA,9.6,16.6,0.506
Niger,2867476.550004,0.9227711528,0.03,3.85,6.7779698372,1.2,953.5418410214,3.856,60.24530239,57.1481530503,4.5,35.7,165.2596936923,1,30,NA,3.1,9.5,NA
Nigeria,36377049.800529,6.0051107325,0.16,4.62,NA,5,5991.6905399017,4.875,217.09610902,2.1043325304,10.1,3653.7,825.9465715823,0.4,30,NA,6.1,7,0.097
Norway,1359598.115912,1.3060760931,2.71,9.93,7.371819973,387,61471.5737187892,7.498,6307.782585,20.6764959853,0.6,9853.6,21.4771181708,1.5,90,1.7102299929,9.7,NA,0.559
Occupied Palestinian Territory,551049.038096,NA,0.14,4.57,NA,13,5009.9190405748,4.754,NA,NA,0.6,125.8,2577.4390365449,NA,NA,NA,NA,NA,NA
